time,latitude,longitude,co,no,so2,tp,ssr,u10,v10,skt
2018-01-04 00:00:00,28.95,76.85,4.331241e-06,4.663112e-08,6.231018e-08,0.0,3.5999988e-12,0.30027258,-1.6614561,276.06137
2018-01-04 00:00:00,28.95,77.6,4.3791842e-06,2.437321e-08,6.58566e-08,0.0,3.5999988e-12,1.3641154,-1.7559996,277.39334
2018-01-04 03:00:00,28.2,76.85,3.0639042e-06,1.8261181e-08,2.7343251e-08,0.0,290114.5,0.831059,0.9012098,283.24945
2018-01-04 03:00:00,28.2,77.6,3.2219884e-06,3.917287e-09,3.1384474e-08,0.0,321341.5,1.4781079,0.2832288,283.24707
2018-01-04 03:00:00,28.95,76.85,2.9455468e-06,2.1308566e-09,2.3481784e-08,0.0,280638.5,0.97858095,0.27230352,282.81158
2018-01-04 03:00:00,28.95,77.6,3.7675154e-06,1.9797849e-08,3.0281402e-08,0.0,313552.5,1.5142407,-0.38162714,282.7753
2018-01-04 06:00:00,28.2,76.85,1.9701083e-06,3.8467642e-09,2.2338863e-08,0.0,1739524.0,0.32918936,1.8370256,296.85345
2018-01-04 06:00:00,28.2,77.6,2.7706233e-06,4.821723e-09,2.7881645e-08,0.0,1786132.0,1.5824547,0.87859064,295.89117
2018-01-04 06:00:00,28.95,76.85,2.6915595e-06,4.6219277e-09,2.5004862e-08,0.0,1750822.0,0.6771813,0.84663874,294.42792
2018-01-04 06:00:00,28.95,77.6,3.0568667e-06,5.1743867e-09,2.7757208e-08,0.0,1796356.0,1.2055931,0.048604053,293.2531
2018-01-04 09:00:00,28.2,76.85,1.0860554e-06,1.0673176e-09,1.4591739e-08,0.0,1706383.0,0.123339176,1.0880306,298.28754
2018-01-04 09:00:00,28.2,77.6,1.6653835e-06,1.2658952e-09,1.8380636e-08,0.0,1718693.0,0.84994745,0.26014978,297.01593
2018-01-04 09:00:00,28.95,76.85,1.7241463e-06,1.4812913e-09,1.842908e-08,0.0,1705896.0,0.4383111,0.3207577,296.5481
2018-01-04 09:00:00,28.95,77.6,2.2540146e-06,1.2667539e-09,2.0345164e-08,0.0,1726031.0,1.100512,-0.28031653,295.51166
2018-01-04 12:00:00,28.2,76.85,1.5493559e-06,1.4487247e-09,3.826033e-08,0.0,245619.12,-1.6207933,1.4288304,284.99316
2018-01-04 12:00:00,28.2,77.6,2.2969757e-06,2.0499362e-09,4.903702e-08,0.0,224463.62,-0.6658373,1.0857518,284.02148
2018-01-04 12:00:00,28.95,76.85,2.126159e-06,1.8766944e-09,4.8274266e-08,0.0,234319.62,-0.5462694,-0.27679712,283.77658
2018-01-04 12:00:00,28.95,77.6,2.8281852e-06,1.419115e-09,4.5569287e-08,0.0,216831.62,0.40282726,-0.14129907,283.04486
2018-01-04 15:00:00,28.2,76.85,3.6577587e-06,5.0947726e-08,7.6113224e-08,0.0,3.5999988e-12,-2.0113869,1.3299189,281.76807
2018-01-04 15:00:00,28.2,77.6,4.9084265e-06,8.8482494e-08,1.072122e-07,0.0,3.5999988e-12,-2.1413918,1.1150141,280.6159
2018-01-04 15:00:00,28.95,76.85,4.382484e-06,5.4885973e-08,8.9589776e-08,0.0,3.5999988e-12,-1.8316383,-1.0546637,281.21005
2018-01-04 15:00:00,28.95,77.6,5.3268122e-06,5.8936195e-08,8.564311e-08,0.0,3.5999988e-12,-1.2031288,-1.6927862,279.9994
2018-01-04 18:00:00,28.2,76.85,4.6393625e-06,6.8690724e-08,1.0663716e-07,0.0,3.5999988e-12,-1.9369926,1.0955181,280.5438
2018-01-04 18:00:00,28.2,77.6,5.949267e-06,1.240515e-07,1.5207529e-07,0.0,3.5999988e-12,-2.0905724,0.6600323,279.51978
2018-01-04 18:00:00,28.95,76.85,5.596052e-06,7.854153e-08,1.2915271e-07,0.0,3.5999988e-12,-2.0655022,-0.4523945,280.22266
